Year	Month	Day	Hour	Min	Sec	s1	s2	s3
2002	11	30	0	0	0	0	0	0
2002	12	1	0	0	0	0	0	0
2002	12	2	0	0	0	1.016	0	0
2002	12	3	0	0	0	0.508	0	0
2002	12	4	0	0	0	0	0	5.08
2002	12	5	0	0	0	0	0	2.54
2002	12	6	0	0	0	0	0	0
2002	12	7	0	0	0	0	0	0
2002	12	8	0	0	0	0	0	0
2002	12	9	0	0	0	0.254	2.794	0
2002	12	10	0	0	0	0	1.778	2.54
2002	12	11	0	0	0	0.508	2.032	7.62
2002	12	12	0	0	0	0	3.302	2.54
2002	12	13	0	0	0	0.254	1.778	2.54
2002	12	14	0	0	0	3.81	17.018	2.54
2002	12	15	0	0	0	0.254	9.652	0
2002	12	16	0	0	0	0.508	8.636	0
2002	12	17	0	0	0	0	0.762	0
2002	12	18	0	0	0	0	0	0
2002	12	19	0	0	0	0	0	0
2002	12	20	0	0	0	0	0	0
2002	12	21	0	0	0	0	0	0
2002	12	22	0	0	0	0	0	0
2002	12	23	0	0	0	0	0	0
2002	12	24	0	0	0	0	0	0
2002	12	25	0	0	0	0	0.762	2.54
2002	12	26	0	0	0	0.762	5.334	7.62
2002	12	27	0	0	0	10.668	5.842	25.4
2002	12	28	0	0	0	4.572	9.398	5.08
2002	12	29	0	0	0	2.794	0.254	15.24
2002	12	30	0	0	0	3.556	9.906	5.08
2002	12	31	0	0	0	1.778	3.556	5.08
2003	1	1	0	0	0	0	7.112	2.54
2003	1	2	0	0	0	1.27	9.144	7.62
2003	1	3	0	0	0	0	0	0
2003	1	4	0	0	0	1.778	5.334	7.62
2003	1	5	0	0	0	0.254	0	2.54
2003	1	6	0	0	0	0	0	2.54
2003	1	7	0	0	0	0	0	0
2003	1	8	0	0	0	0	0	0
2003	1	9	0	0	0	0	0	0
2003	1	10	0	0	0	0	0	0
2003	1	11	0	0	0	0.508	1.778	0
2003	1	12	0	0	0	0	5.588	12.7
2003	1	13	0	0	0	2.032	2.54	0
2003	1	14	0	0	0	0.254	2.286	2.54
2003	1	15	0	0	0	0	0.254	0
2003	1	16	0	0	0	0	0	0
2003	1	17	0	0	0	0	0	0
2003	1	18	0	0	0	0	0	0
2003	1	19	0	0	0	0.254	0	0
2003	1	20	0	0	0	0	0.254	0
2003	1	21	0	0	0	0	5.08	0
2003	1	22	0	0	0	5.842	12.7	12.7
2003	1	23	0	0	0	0	0	7.62
2003	1	24	0	0	0	0.254	0.762	2.54
2003	1	25	0	0	0	0.508	5.588	12.7
2003	1	26	0	0	0	0.254	3.048	15.24
2003	1	27	0	0	0	2.032	0.254	0
2003	1	28	0	0	0	0	0	7.62
2003	1	29	0	0	0	2.54	6.35	7.62
2003	1	30	0	0	0	2.286	10.414	5.08
2003	1	31	0	0	0	1.778	8.128	30.48
2003	2	1	0	0	0	0	0	7.62
2003	2	2	0	0	0	3.048	2.032	2.54
2003	2	3	0	0	0	0.254	0	7.62
2003	2	4	0	0	0	0	0	5.08
2003	2	5	0	0	0	0	0	20.32
2003	2	6	0	0	0	0	0	2.54
2003	2	7	0	0	0	0	0	5.08
2003	2	8	0	0	0	0	0	5.08
2003	2	9	0	0	0	0	0	2.54
2003	2	10	0	0	0	0	0	0
2003	2	11	0	0	0	0	0	0
2003	2	12	0	0	0	0	0	0
2003	2	13	0	0	0	0	0.508	2.54
2003	2	14	0	0	0	0	0.508	0
2003	2	15	0	0	0	0.254	2.794	0
2003	2	16	0	0	0	0	5.334	5.08
2003	2	17	0	0	0	0	0.254	5.08
2003	2	18	0	0	0	0	0	0
2003	2	19	0	0	0	0	0.254	0
2003	2	20	0	0	0	1.524	0.508	12.7
2003	2	21	0	0	0	0.254	1.524	15.24
2003	2	22	0	0	0	0	0	0
2003	2	23	0	0	0	0	0	0
2003	2	24	0	0	0	0	0	0
2003	2	25	0	0	0	0	0	0
2003	2	26	0	0	0	0	0	5.08
2003	2	27	0	0	0	0	0	0
2003	2	28	0	0	0	0	0	0
2003	3	1	0	0	0	0	0	5.08
2003	3	2	0	0	0	0.762	0.508	5.08
2003	3	3	0	0	0	0.254	0	5.08
2003	3	4	0	0	0	0	0	5.08
2003	3	5	0	0	0	0	0	27.94
2003	3	6	0	0	0	1.524	0	25.4
2003	3	7	0	0	0	0	0	15.24
2003	3	8	0	0	0	2.032	0.762	10.16
2003	3	9	0	0	0	3.81	5.08	15.24
2003	3	10	0	0	0	0.508	0	12.7
2003	3	11	0	0	0	0.762	0.254	45.72
2003	3	12	0	0	0	0	2.794	10.16
2003	3	13	0	0	0	0.254	0.762	0
2003	3	14	0	0	0	0	5.842	7.62
2003	3	15	0	0	0	1.016	11.176	5.08
2003	3	16	0	0	0	11.176	0	7.62
2003	3	17	0	0	0	0	0	0
2003	3	18	0	0	0	0	0	0
2003	3	19	0	0	0	0	2.032	0
2003	3	20	0	0	0	0	3.048	0
2003	3	21	0	0	0	1.016	8.382	0
2003	3	22	0	0	0	0.254	4.064	12.7
2003	3	23	0	0	0	0.254	0.508	2.54
